hangul,romanji,english,severity,type
학생,hak saeng,student,orange,noun
기자,ki cha,reporter,red,noun
의사,eei sa,doctor,red,noun
가수,ka su,singer,red,noun
배우,pae u,actor,orange,noun
누구,nu ku,who,orange,particle
선생님,sOng saeng nim,teacher,orange,noun
회사원,hwe sa uwon,office worker,orange,noun
은행원,een haeng uwon,bank worker,orange,noun
간호사,kan ho sa,nurse,orange,noun
요리사,yo ri sa,chef,orange,noun
문,mun,door,orange,noun
창문,cchaeng mun,window,orange,noun
책,cchaek,book,orange,noun
공책,kong cchaek,notebook,orange,noun
책상,cchaek saeng,desk/table,orange,noun
의자,eei cha,chair,red,noun
칠판,cchil ppan,blackboard,orange,noun
지도,chi to,map,orange,noun
달력,tal ryOk,calendar,orange,noun
시계,shi kye,clock,orange,noun
거울,kO ul,mirror,orange,noun
옷걸이,ot kOl i,coat hanger,orange,noun
컴퓨터,kkOm pyu ttO,computer,orange,noun
텔레비전,ttel re pi chOn,television,orange,noun
필통,ppil ttong,pencil case,orange,noun
연필,yOn ppil,pencil,orange,noun
볼펜,pol ppen,(ball) pen,orange,noun
지우개,chi u kae,eraser,orange,noun
돈,ton,money,orange,noun
지갑,chi kap,wallet,orange,noun
가방,ka pang,bag,orange,noun
휴지,hyu chi,tissue,orange,noun
학생증,hak saeng cheeng,id card,orange,noun
휴대전화,hyu tae chOn hwa,phone,orange,noun
국적,kuk chOk,nationality,green,noun
직업,chik Op,job,green,noun
교수님,kyo su nim,professor,green,noun
경찰,kyOng cchal,police,green,noun
물통,mul ttong,water bottle,green,noun
인형,in hyOng,doll,orange,noun
안경,an kyOng,glasses,green,noun
교실,kyo shil,classroom,orange,noun (place)
사진,sa chin,photo,orange,noun
선수,son su,(sports) player,green,noun
사탕,sa ttang,candy,green,noun
그림,kee rim,painting,orange,noun
그리다,kee ri ta,to paint,red,verb
신문,shin mun,newspaper,orange,noun
잡지,chap chi,magazine,orange,noun
방,pang,room,orange,noun
도서관,to sO kwoan,library,orange,noun (place)
학생회관,hak saeng hwe kwoan,student hall,orange,noun (place)
서점,sO chom,bookstore,red,noun (place)
식당,shik tang,restaurant,orange,noun (place)
기숙사,ki suk sa,dormitory,orange,noun (place)
사무실,sa mu shil,office,orange,noun (place)
우체국,u cche kuk,post office,orange,noun (place)
체육관,cche yuk kwoan,gym,orange,noun (place)
편의점,ppyo ni chOm*,convenience store,orange,noun (place)
학교,hak kyo,school,orange,noun (place)
꽃,kot,flower,orange,noun
외교관,uwe kyo kwoan,diplomat,green,noun
친구,cchin ku,friend,orange,noun
날씨,nal szhi,weather,orange,noun
나라,nal la,country,orange,noun
보다,po ta,to watch,orange,verb
듣다,teet ta,to listen,orange,verb
읽다,irk ta,to read,orange,verb
쓰다,szee ta,to write,orange,verb
사다,sa ta,to buy,orange,verb
입다,ip ta,to wear,orange,verb
먹다,mOk ta,to eat,orange,verb
마시다,ma shi ta,to drink,orange,verb
만나다,man na ta,to meet,orange,verb
배우다,pae u ta, to learn,orange,verb
가르치다,ka ree cchi ta,to teach,orange,verb
기다리다,ki ta ri ta,to wait,orange,verb
영화,yOng hwa,movie,orange,noun
물,mul,water,orange,noun
빵,bang,bread,orange,noun
커피,kkO pi,coffee,orange,noun
하다,ha ta,to do,orange,verb
음악,eem ak,music,orange,noun
꽃집,kot chip,florist (flower house),orange,noun (place)
집,chip,house,orange,noun (place)
노래방,no rae pang,karaoke (song room),orange,noun (place)
찜질방,jim chil pang,sauna,orange,noun (place)
백화점,paek hwa chOm,department store,orange,noun (place)
빵집,bang chip,bakery (bread house),orange,noun (place)
피시방,ppi shi pang,pc bang,orange,noun (place)
문구점,mun ku chOm,stationery store,red,noun (place)
과자,kOwa chaa,snack,red,noun (food)
침대,cchim tae,bed,orange,noun
냉장고,naeng chang ko,fridge,orange,noun
병원,pyOng uwon,hospital,orange,noun (place)
수영장,su yong chang,swimming pool,orange,noun (place)
수영(을)하다,su yOng,swimming,orange,verb
정문,chOng mun,main door,orange,noun
(_어)학당,hak tang,institute,green,noun (place)
복사,pok sa,copy,green,noun
강당,kang tang,auditorium,green,noun (place)
교과서,kyo kOwa so,textbook,orange,noun
고향,ko hyang,hometown,orange,noun (place)
싶다,shipp ta,to want,orange,verb
산,san,mountain,orange,noun (place)
